Year,Sex,Age Group,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths
2020.0,Female,75-84 years,1468.0,1248.0,20.0
2020.0,Female,85 years and over,2583.0,1833.0,30.0
2020.0,All Sexes,15-24 years,40.0,38.0,0.0
2020.0,All Sexes,35-44 years,467.0,362.0,11.0
2020.0,All Sexes,50-64 years,2812.0,2621.0,34.0
2020.0,All Sexes,55-64 years,2218.0,2086.0,28.0
2020.0,All Sexes,65-74 years,3334.0,3191.0,22.0
2020.0,All Sexes,75-84 years,3402.0,3196.0,28.0
2020.0,All Sexes,85 years and over,2556.0,2339.0,16.0
2020.0,Male,15-24 years,19.0,18.0,0.0
2020.0,Male,50-64 years,1550.0,1467.0,15.0
2020.0,Male,55-64 years,1205.0,1159.0,13.0
2020.0,Male,65-74 years,1901.0,1827.0,15.0
2020.0,Male,75-84 years,1807.0,1741.0,15.0
2020.0,Female,15-24 years,21.0,20.0,0.0
2020.0,Female,50-64 years,1262.0,1154.0,19.0
2020.0,Female,55-64 years,1013.0,927.0,15.0
2020.0,Female,75-84 years,1595.0,1455.0,13.0
2020.0,All Sexes,35-44 years,493.0,399.0,10.0
2020.0,All Sexes,45-54 years,1212.0,942.0,17.0
2020.0,All Sexes,50-64 years,3729.0,3235.0,57.0
2020.0,All Sexes,55-64 years,2986.0,2646.0,48.0
2020.0,All Sexes,65-74 years,4693.0,4226.0,59.0
2020.0,All Sexes,75-84 years,5464.0,4941.0,78.0
2020.0,All Sexes,85 years and over,5534.0,4450.0,64.0
2020.0,Male,45-54 years,766.0,570.0,11.0
2020.0,Male,50-64 years,2284.0,1944.0,31.0
2020.0,Male,55-64 years,1793.0,1581.0,27.0
2020.0,Male,65-74 years,2629.0,2371.0,31.0
2020.0,Male,75-84 years,3108.0,2777.0,32.0
2020.0,Male,85 years and over,2381.0,2079.0,25.0
2020.0,Female,50-64 years,1445.0,1291.0,26.0
2020.0,Female,55-64 years,1193.0,1065.0,21.0
2020.0,Female,65-74 years,2064.0,1855.0,28.0
2020.0,Female,75-84 years,2356.0,2164.0,46.0
2020.0,Female,85 years and over,3153.0,2371.0,39.0
2020.0,All Sexes,50-64 years,606.0,518.0,10.0
2020.0,All Sexes,55-64 years,492.0,430.0,10.0
2020.0,All Sexes,65-74 years,858.0,757.0,12.0
2020.0,All Sexes,75-84 years,989.0,865.0,13.0
2020.0,All Sexes,85 years and over,898.0,695.0,15.0
2020.0,Male,1-4 years,0.0,0.0,0.0
2020.0,Female,5-14 years,0.0,0.0,0.0
2020.0,Female,35-44 years,41.0,28.0,0.0
2020.0,Female,45-54 years,67.0,52.0,0.0
2020.0,Female,65-74 years,346.0,307.0,10.0
2020.0,Female,85 years and over,475.0,329.0,10.0
2020.0,All Sexes,35-44 years,108.0,84.0,0.0
2020.0,All Sexes,50-64 years,784.0,734.0,18.0
2020.0,All Sexes,55-64 years,615.0,581.0,17.0
2020.0,All Sexes,65-74 years,1076.0,1009.0,16.0
2020.0,All Sexes,75-84 years,1283.0,1213.0,13.0
